unit_code,title,year,credit_points,faculty,subclass,school,campuses,teaching_periods,prerequisites,corequisites,prohibitions,synopsis
ENG1090,Foundation mathematics,2026,6,ENG,Unit,Faculty of Engineering,Malaysia; Clayton,"October intake teaching period, Malaysia campus; First semester; Second semester",,,,"This unit introduces foundational mathematics required for all disciplines of engineering. It is equivalent to the Victorian Certificate of Education (VCE) Specialist Mathematics and a prerequisite for ENG1005. Major concepts taught using engineering contexts include functions and their properties, complex numbers, vectors, differentiation, integration and application."
ENG1142,AI for business and healthcare,2026,6,ENG,Unit,Faculty of Engineering,,,,,,"In this unit, we explore the transformative power of Artificial Intelligence (AI) across the healthcare and business landscapes, combining foundational knowledge with practical applications.
In healthcare, you will learn how AI is revolutionising patient care, from disease diagnosis to public health management. We will cover AI  techniques for predictive modelling, clinical decision-making, patient monitoring and precision medicine while focusing on ethical challenges such as patient privacy, algorithmic bias and health equity. This ensures your approach to AI in healthcare is responsible, safe and in line with industry standards.
In the business and commerce sectors, you will develop a strategic perspective on using AI to tackle real-world challenges in marketing, finance, management and more. You will explore how to apply AI to gain insights into customer behaviour and improve data-driven decision-making. Additionally, you will gain hands-on experience with AI tools that enhance operational efficiency, drive digital transformation and promote ethical data governance.
By examining AI in healthcare and business, this unit equips you to drive innovation, adapt to rapidly evolving industries and make impactful, ethical decisions with AI."
ENG1811,Engineering Industry 4.0 Design,2026,6,ENG,Unit,Faculty of Engineering,Malaysia,First semester,,,,"This unit is designed to provide an introduction to Industry 4.0 by covering four of the nine pillars of the Industry 4.0  IoT, cloud computing, big data analytics and augmented reality. Each pillar will be introduced and linked to demonstrate how a cyber-physical system can drive an Industry 4.0 system. You will work in a small team to design an IoT prototype, which integrates cloud computing and augmented reality technology that meets a contemporary need in engineering."
ENG1812,Leadership and entrepreneurship,2026,6,ENG,Unit,Faculty of Engineering,Malaysia,"Second semester; October intake teaching period, Malaysia campus",,,,"In this unit, you will gain foundational leadership skills and develop an entrepreneurial mindset crucial for thriving in todays fast-evolving global landscape. Designed to simulate the incubation of innovative ideas, this unit prepares you to scale these innovations within organisations or launch them as start-ups. Through real-world application, hands-on experience, and direct stakeholder engagement, you will work in teams to refine your skills while reflecting on your growth throughout the process.
As a future leader, adaptability is key. You will be required to shift seamlessly between technical, managerial, and leadership roles across diverse settings - whether in start-ups, small enterprises, or large organisations. Moreover, you will learn to navigate industries being reshaped by globalisation, technological advancements, and the growing demand for sustainable solutions. 
This unit emphasises leadership development, with a focus on understanding and applying various leadership styles to achieve organisational goals. Effective communication, both written and verbal, is also integral to success, ensuring you can align stakeholders around shared objectives.
Entrepreneurship, a driving force for innovation and economic growth, can be pursued by launching new ventures or innovating within existing enterprises. As a leader, you will not only solve technical challenges but also anticipate market trends, economic constraints, and societal needs. Cultivating an entrepreneurial mindsetrooted in curiosity, creativity, and value creationwill empower you to identify and capitalise on new opportunities. 
Throughout the unit, you will conceptualise innovative business ideas, develop strategic business plans, and explore various funding sources. Additionally, you will refine your ability to pitch these ideas to potential investors and secure the necessary financial backing to bring them to life."
ENG1813,Next-Gen uncrewed vehicle,2026,6,ENG,Unit,Faculty of Engineering,Malaysia,Summer semester A,,,,"This unit introduces you to the transformative potential of drone technology, IoT integration and artificial intelligence (AI) in addressing modern engineering challenges. It equips you with the foundational knowledge and practical skills to design, operate, and analyse drones while adhering to essential safety and regulatory frameworks. Through real-world applications, you will use cutting-edge tools like the industrial IoT platform to collect and analyse data, enabling innovation in areas such as environmental monitoring, surveying, and infrastructure assessment.
As part of this unit, you will work in small teams to design and prototype an IoT-enabled drone system that addresses engineering challenges. This hands-on group work will allow you to collaborate effectively, combining theoretical knowledge with practical application. Your prototype will integrate drone operations with IoT technologies and AI-driven analytics, focusing on real-time telemetry, data analytics, and emergency response planning.
You will also gain experience navigating regulatory environments and developing contingency plans to ensure operational safety. By mastering these skills, you will be well-prepared to contribute effectively in industries that depend on connectivity, automation, data analytics and prediction."
ENG2005,Advanced engineering mathematics,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,First semester; Second semester,ENG1005,,,"This unit introduces advanced mathematical concepts required for all disciplines of engineering that extend on the concepts in ENG1005 Engineering mathematics.
Major concepts taught using engineering contexts include multivariable and vector calculus, Fourier series and partial differential equations. Specific topics include partial derivatives, double and triple integrals with change of coordinates, vector functions and operators, parametric curves and surfaces, periodic functions, Laplace transforms, ODE boundary value problems, partial differential equation solution techniques and applications."
ENG4001,Special studies in engineering 1,2026,6,ENG,Unit,Faculty of Engineering,,,,,,"This unit comprises a special technical research study in a field of engineering, under the guidance of an academic supervisor with a topic negotiated and agreed upon between you and the Faculty of Engineering. The unit is offered as a vehicle to enable an excellent student to undertake in-depth studies that would otherwise not fit within the scope of a standard fourth level. It might take the form of a laboratory research project or another form that allows you to meet the learning outcomes. You will be expected to prepare a proposal for the study and then take responsibility for the implementation of that plan, including compliance with any ethical and OHS requirements. You should meet at least weekly with your supervisor but will be expected to maintain high levels of self-management while interacting professionally with other staff members as needed.
This unit should not be taken concurrently with a final year project unit."
ENG4002,Special studies in engineering 2,2026,6,ENG,Unit,Faculty of Engineering,,,ENG4001,,,"This unit, taken in addition to ENG4001, is an extension of a special study in a field of engineering with a content negotiated and agreed between a student and the faculty. The unit is offered as a vehicle to enable an excellent student to undertake studies that would otherwise not fit within the scope of a standard fourth level. Where necessary, a safety audit and/or risk assessment will be conducted prior to the commencement of work. The student will be expected to prepare a proposal for the study and an analysis of any special requirements to ensure that the scope and expected outcomes of the study are manageable and agreed between the student and the supervisor."
ENG4105,Biomedical engineering integrated design,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"This unit provides you with an opportunity to work on a real-world, biomedical engineering design problem in a professional team environment. The project will integrate your previous subdisciplines of study, providing you with a holistic capstone experience to prepare you for a career utilising your broad engineering skillset and specialist domain knowledge. 
The project will involve a critical assessment of a complex open-ended design problem or opportunity from multiple perspectives, taking into account societal, health, safety, legal, cultural, ethical and environmental factors. The project work relies on using creative problem-solving and decision-making skills and modern project management tools for developing practical solutions to the design problem. You will iteratively test your solution and seek the feedback of others while reflecting on your own practice.
The outcomes of the project will be communicated via presentations, demonstrations and professional reports."
ENG4701,Final year project A,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,Second semester; First semester,,,,The aim of this capstone unit is to provide an opportunity for you to undertake a substantial individual or small group project. Projects undertaken will integrate and build on content from earlier stages of the course. This unit is the first part of a two-unit project.
ENG4702,Final year project B,2026,6,ENG,Unit,Faculty of Engineering,Malaysia; Clayton,First semester; Second semester,ENG4701,,,This unit is a continuation of ENG4701 Final year project A. The aim of this capstone unit is to provide an opportunity for you to undertake a substantial individual or small group project. Projects undertaken will integrate and build on content from earlier stages of the course.
ENG4801,Professional practice (Curriculum embedded),2026,6,ENG,Unit,Faculty of Engineering,Clayton; Malaysia,First semester; Second semester,,,,"Engineering Professional Practice is an essential subject that acts as the bridge between your engineering studies and the real-world challenges you'll face in the industry. It's designed to make you not just a skilled engineer, but a well-rounded professional who understands the practical aspects of engineering within the context of society's needs and global standards.
This subject is tailored to prepare you for the dynamic and evolving world of engineering workplaces. It focuses on equipping you with transferable skills such as problem-solving, ethical decision-making, teamwork and communication, which are invaluable whether you're in the field. managing projects or even exploring roles outside of traditional engineering paths.
One of the unique aspects of this subject is its alignment with the accreditation benchmarks set by professional bodies like Engineers Australia and the Engineering Accreditation Council Malaysia. This means that what you learn here will meet the standards expected by these organisations, ensuring your qualifications are recognised and respected wherever your career takes you.
Moreover, the unit content is interwoven with the United Nations Sustainable Development Goals, highlighting the role of engineers in building a better world. You'll explore how engineering projects can be designed and implemented to be sustainable, socially responsible and beneficial for the community and the environment.
By the end of this unit, you'll not only have a deeper understanding of your professional responsibilities but also the tools to innovate and lead in ways that contribute positively to our planet and its people."
ENG4802,Professional practice (Student teams),2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester,,,,"This unit is offered exclusively to current members of our Engineering and IT student teams. These members can be undertaking any degree at Monash.
In this unit, you will draw upon your first-hand experiences and professional practice from your team to evidence the learning outcomes of the unit, and provide feedback on the work completed by students from other teams. This unit also qualifies you to apply for Monash Abroad grants and OS-HELP loans for endorsed international team competitions and related activities.
Engineering Professional Practice is an essential subject that acts as the bridge between your engineering studies and the real-world challenges you will face in the industry. It is designed to make you not just a skilled engineering, but a well-rounded professional who understands the practical aspects of engineering within the context of society's needs and global standards.
This subject is tailored to prepare you for the dynamic and evolving world of engineering workplaces. It focuses on equipping you with transferable skills such as problem-solving, ethical decision-making, teamwork and communication, which are invaluable whether you are in the field, managing projects or even exploring roles outside of traditional engineering paths.
One of the unique aspects of this subject is its alignment with the accreditation benchmarks set by professional bodies like Engineers Australia and the Engineering Accreditation Council Malaysia. This means that what you learn here will meet the standards expected by these organisations, ensuring your qualifications are recognised and respected wherever your career takes you.
Moreover, the unit content is interwoven with the United Nations Sustainable Development Goals, highlighting the role of engineers in building a better world. You will explore how engineering projects can be designed and implemented to be sustainable, socially responsible and beneficial for the community and the envrionment.
By the end of this unit, you will not only have a deeper understanding of your professional responsibilities but also the tools to innovate and lead in ways that contribute positively to our planet and its people."
ENG4803,Professional practice (Industry experience),2026,6,ENG,Unit,Faculty of Engineering,Clayton,Summer semester A; Second semester; First semester,,,,"This unit is offered exclusively to students undertaking a Work Integrated Learning (WIL) placement. You will draw upon your first-hand experiences of professional practice from your work placement to evidence the learning outcomes of the unit.
Engineering Professional Practice is an essential subject that acts as the bridge between your engineering studies and the real-world challenges you will face in the industry. It is designed to make you not just a skilled engineer, but a well-rounded professional who understands the practical aspects of engineering within the context of society's needs and global standards.
This subject is tailored to prepare you for the dynamic and evolving world of engineering workplaces. It focuses on equipping you with transferable skills such as problem-solving, ethical decision-making, teamwork and communication, which are invaluable whether you are in the field, managing projects, or even exploring roles outside of traditional engineering paths.
One of the unique aspects of this subject is its alignment with the accreditation benchmarks set by professional bodies like Engineers Australia and the Engineering Accreditation Council Malaysia. This means that what you learn here will meet the standards expected by these organisations, ensuring your qualifications are recognised and respected wherever your career takes you.
Moreover, the unit content is interwoven with the United Nations Sustainable Development Goals, highlighting the role of engineers in building a better world. You will explore how engineering projects can be designed and implemented to be sustainable, socially responsible, and beneficial for the community and the environment.
By the end of the unit, you will not only have a deeper understanding of your professional responsibilities but also the tools to innovate and lead in ways that contribute positively to our planet and its people."
ENG4804,Professional practice (Co-operative education),2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester; Summer semester A,,,,"This unit is offered exclusively to students undertaking a co-operative education internship. You will draw upon your first-hand experiences of professional practice from your work to evidence the learning outcomes of the unit.
Engineering Professional Practice is an essential subject that acts as the bridge between your engineering studies and the real-world challenges you will face in the industry. It is designed to make you not just a skilled engineer, but a well-rounded professional who understands the practical aspects of engineering within the context of society's needs and global standards.
This subject is tailored to prepare you for the dynamic and evolving world of engineering workplaces. It focuses on equipping you with transferable skills such as problem-solving, ethical decision-making, teamwork and communication, which are invaluable whether you are in the field, managing projects or even exploring roles outside of traditional engineering paths.
One of the unique aspects of this subject is its alignment with the accreditation benchmarks set by professional bodies like Engineers Australia and the Engineering Accreditation Council Malaysia. This means that what you learn here will meet the standards expected by these organisations, ensuring your qualifications are recognised and respected wherever your career takes you.
Moreover, the unit content is interwoven with the United Nations Sustainable Development Goals, highlighting the role of engineers in building a better world. You will explore how engineering projects can be designed and implemented to be sustainable, socially responsible and beneficial for the community and the environment.
By the end of this unit, you will not only have a deeper understanding of your professional responsibilities but also the tools to innovate and lead in ways that contribute positively to our planet and its people."
ENG5001,Advanced data analytics for engineers,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Suzhou (SEU),First semester,,,,"The unit consists of essential components required to develop an advanced data analytics framework in engineering settings. It first sets up the probabilistic foundations for data analysis, including topics such as probability, random variables, expectation, key probability distributions, conditional distributions, hypothesis testing and statistical correlation, then applies these techniques to inspect and assess real-world datasets in an exploratory manner. The second part of the unit covers mainstream machine learning methods (eg neural networks and tree-based models) to perform statistical inference in regression and classification analysis.
The material will be taught in the context of real engineering problems drawn from multiple disciplines. You will be allocated to a group for a semester-long project to build your own data analytics framework, a skill that is increasingly important across all engineering disciplines."
ENG5002,Engineering entrepreneurship,2026,6,ENG,Unit,Faculty of Engineering,,,,,,"The goal of this unit is to impart an evidence-based methodology for building scalable startups that you can use for the rest of your career, whether you are starting a new business or working in established organisations. For a new business, the goal is acquiring investor funding. In a corporate environment, the methodology will help the organisation start new businesses and allocate their internal resources (time, technology, and talent) more efficiently. The unit will be taught in a hands-on way that engages student teams by requiring them to develop hypotheses and then test those hypotheses outside the classroom. Throughout the semester, teams will modify their business models based on feedback from potential customers, and can then decide if there is a worthwhile business to be built. The unit does not include the execution of the business models."
ENG5005,Research methods,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Suzhou (SEU),First semester; Second semester,,,,"This unit provides a challenging opportunity for you to pursue an independent, self-guided research review aimed at advancing the body of knowledge relevant to the topic. The review will involve a critical assessment of the current literature and will include a combination of literature review, proposing hypotheses, experimental design, and preliminary experimental investigation. The project and its outcomes will be communicated to a wider audience via a technical review paper, and oral presentations. This unit can be taken alone or as the first part of a two-unit project."
ENG5006,Research practice,2026,6,ENG,Unit,Faculty of Engineering,Clayton; Suzhou (SEU),First semester; Term 3; Second semester,ENG5005,,,"Together with ENG5005, this unit provides a challenging opportunity for you to pursue an independent, self-guided research review aimed at advancing the body of knowledge relevant to the topic. The review will involve a critical assessment of the current literature and will include a combination of literature review, proposing hypotheses, experimental design, and preliminary experimental investigation. The project and its outcomes will be communicated to a wider audience via a technical review paper, and oral presentations. This unit is the second part of a two-unit project."
ENG5007,Translation and commercialisation of medical technologies,2026,6,ENG,Unit,Faculty of Engineering,,,,,,"The aim of this unit is to provide an overview of the various aspects of translation and commercialisation of medical technologies in order to provide specific training that is highly relevant to the medical technology industry. The topics covered in the unit include policy and the International and national regulatory environment, medical device reimbursement, bioethics, intellectual property, product development and manufacturing, and health economics. The topics will be taught in part by practitioners who are highly skilled in their fields. The course material will be provided in the form of lectures and analysis of case studies."
ENG5008,Industry experience,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester; Summer semester A; Summer semester B; First semester,,,,"You undertake a project defined by a partner organisation with the approval of the unit coordinator. The placement may be an affiliated arrangement where a consultancy or research project is carried out in association with the company and physical location at the company is not required. Partner organisations may be from a diverse range of industries and sectors, including government departments, private industry and not-for-profit organisations. You will communicate the project findings in the format specified by the partner organisation, such as a consultation paper, report, commentary, manual, submission or speech. The partner organisation provides field supervision, and the faculty provides academic supervision."
ENG5009,Industry experience,2026,6,ENG,Unit,Faculty of Engineering,Clayton,First semester; Summer semester A; Summer semester B; Second semester,ENG5008,,,"You undertake a project defined by a partner organisation with the approval of the unit coordinator. The placement may be an affiliated arrangement where a consultancy or research project is carried out in association with the company and physical location at the company is not required. Partner organisations may be from a diverse range of industries and sectors, including government departments, private industry and not-for-profit organisations. You will communicate the project findings in the format specified by the partner organisation, such as a consultation paper, report, commentary, manual, submission or speech. The partner organisation provides field supervision, and the faculty provides academic supervision."
ENG5011,Master's thesis Part 1,2026,12,ENG,Unit,Faculty of Engineering,Clayton,First semester; Second semester,,,,"In this unit, you will embark on the first phase of your research thesis, focused on developing a strong foundation for your project. You will begin by identifying a research problem in your chosen field of specialisation and formulating a clear research question or hypothesis. A comprehensive literature review will be conducted to critically evaluate existing research, highlight gaps in current knowledge, and contextualise your project within the broader academic and industry landscape.
Throughout the unit, you will refine your research proposal, define the methodology you intend to use, and set clear objectives for your investigation. You will also be expected to address the feasibility of the research, considering any technical, ethical, or logistical challenges. By the end of Thesis Part 1, you will have a well-developed research plan and a literature review that provides the theoretical and practical framework for your thesis. Ideally, you will have some initial results from preliminary investigations and formulate a sustainable plan for Thesis Part 2."
ENG5012,Master's thesis Part 2,2026,12,ENG,Unit,Faculty of Engineering,Clayton,First semester; Second semester,ENG5011,,,"In this unit, you will progress to the second phase of your research thesis focusing on executing the research outlined in your proposal from Thesis Part 1. You will collect data, perform experiments or engage in simulations per your research design, ensuring rigorous and ethical research practices. As you gather results, you will engage in critical analysis, interpretation and evaluation of the data to address your research question or hypothesis.
In addition to conducting your research, you will begin drafting your thesis. This involves writing key sections such as the methodology, results, discussion and conclusions, while continuously integrating feedback from your supervisor. The culmination of this unit will be the submission of your complete research thesis, which will demonstrate your ability to contribute original knowledge to your field of specialisation."
ENG5100,Professional engineer in organisation and society,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester,,,,"This unit will prepare you to move into organisations and society more broadly as a professional engineer. It will provide insights and strategies that will enable a successful transition from academic studies through an understanding and application of business and industry practices, in an engineering context. You will gain an understanding of the principles of social, economic and environmental sustainability as a driver for management, utilising tools including the United Nations Sustainable Development Goals. Relevant legal issues will be covered. This will be drawn together in discussing the role of the professional engineer, including risk management, safety, ethical behaviour and decision-making."
ENG5105,Integrated design,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"This unit provides you with an opportunity to work on a real-world, engineering design problem in a professional team environment. The project will integrate your previous sub-disciplines of study, providing you with a holistic capstone experience to prepare you for a career utilising your broad engineering skillset and specialist domain knowledge. The project will involve a critical assessment of a complex open-ended design problem or opportunity from multiple perspectives, taking into account societal, health, safety, legal, cultural, ethical and environmental factors. The project work relies on using creative problem solving and decision-making skills and modern project management tools for developing practical solutions to the design problem. You will iteratively test your solution and seek the feedback of others while reflecting on your own practice. The outcomes of the project will be communicated via presentations, demonstrations and professional reports."
ENG5106,Integrated design project,2026,12,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"This unit provides you with an opportunity to work on a real-world, engineering design problem in a professional team environment. The project will integrate your previous sub-disciplines of study, providing you with a holistic capstone experience to prepare you for a career utilising your broad engineering skillset and specialist domain knowledge."
ENG5200,Engineering project risk management,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester; First semester,,,,"In this unit, the concepts of risk in engineering projects will be explored and a critical understanding of the principles and processes of systematic risk management will be developed. You will learn the state-of-the-practice and latest research advancements in qualitative and quantitative risk assessment. At the end of this unit, you will be able to identify, analyse, treat and control relevant risks to engineering projects."
ENG5220,Organising the project function,2026,6,ENG,Unit,Faculty of Engineering,Clayton,First semester,,,,"The unit appraises and explores the relationship between projects, programs, and portfolios within an organisational context. It includes governance of the project function, alignment with strategic objectives and the creation of value for the organisation. Leadership theories and the competencies of project leadership, which are required to support effective governance when managing projects, are reviewed."
ENG5221,Project as a social system,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"This unit explores projects as primarily social constructs, where sense-making and adaptive behaviours are required to accommodate local contexts, dynamics, and personal attributes. The perception of projects as primarily a process is critically examined. The concepts of systems thinking is explored to develop an understanding of the interrelationships between various elements of a project, and the environment in which they are executed."
ENG5331,Railway engineering,2026,6,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"The main subsystems for a functioning modern railway network such as the track system, the rolling stock, the power supply system, and the signal and control system will be described in this unit. It also covers the fundamental principles for planning and design of railway infrastructure. Various track geometry aspects and basic factors for track geometry and the selection of appropriate rolling stock will be explored based on international and national standards. Terminologies and new facts on track geometry and their relationship with train speed and rolling stock design will be introduced. It also covers the interaction between rail vehicles and infrastructure.
The types and components of rolling stock, dynamic interaction between a railway vehicle and a track system, and traffic loadings will be part of the discussions. Key issues and concepts relating to rolling stock design, maintenance and operations will be discussed. This unit also involves discussions on the fundamental wheel-rail interface engineering. Wheel and rail profiles from the point of vehicle guidance perspective and lateral instability will be discussed in this unit. Current developments in inspection and maintenance procedures for track and rolling stock components will be covered as part of this unit. The safety criterion of the railway vehicle against derailments and track instability will be discussed."
ENG5410,Research practice in engineering,2026,6,ENG,Unit,Faculty of Engineering,Clayton,First semester; Second semester,,,,"The unit aims to be an introduction to the practice of research. It is founded on perspectives from the Philosophy of Science (PoS), which addresses questions of what science is and what it means to be a scientist. The unit firstly introduces the structure of scientific arguments and aims to demonstrate how a knowledge of this structure can enable critical thinking and scientific communication. The unit also shows how modern science is a complex social process addressing issues such as research funding, planning and budgeting research projects, research metrics, technology development and commercialisation, intellectual property and patents, and current socio-political views of science and scientists."
ENG5805,Statistical data processing and operations research,2026,6,ENG,Unit,Faculty of Engineering,Malaysia,First semester,,,,"This unit introduces the basic engineering statistical analysis and operations research techniques for engineers. Topics include modelling data, statistical inferences, correlations and simple linear regressions, linear programming, Simplex Method for linear programming, Duality Theory, and Sensitivity Analysis. The unit is oriented towards industrial engineering applications rather than mathematical development."
ENG5813,Industry-based project A,2026,6,ENG,Unit,Faculty of Engineering,Malaysia,First semester; Second semester,,,,"Projects will consist of solving industry-based problems using design, theoretical or experimental investigation. The projects have to be actual industrial problems identified by industrial partners in the relevant field. The project may be undertaken either within the School or externally within the industry. In either case, an academic member of staff and a person from the industry will act as supervisors. While some projects may benefit from group-based work, it is expected that you will work individually on each project. In the first part, you are expected to plan the project work with sound analysis and generate preliminary findings."
